speed =  231 ['10000001', '00000011', '01110011', '01110011']
speed =  232 ['10000001', '00000000', '01110100', '01110100']
speed =  233 ['10000001', '00000011', '01110100', '01110100']
speed =  234 ['10000001', '00000000', '01110101', '01110101']
speed =  235 ['10000001', '00000011', '01110101', '01110101']
speed =  236 ['10000001', '00000000', '01110110', '01110110']
speed =  237 ['10000001', '00000011', '01110110', '01110110']
speed =  238 ['10000001', '00000000', '01110111', '01110111']
speed =  239 ['10000001', '00000011', '01110111', '01110111']
speed =  240 ['10000001', '00000000', '01111000', '01111000']
speed =  241 ['10000001', '00000011', '01111000', '01111000']
speed =  242 ['10000001', '00000000', '01111001', '01111001']
speed =  243 ['10000001', '00000011', '01111001', '01111001']
speed =  244 ['10000001', '00000000', '01111010', '01111010']
speed =  245 ['10000001', '00000011', '01111010', '01111010']
speed =  246 ['10000001', '00000000', '01111011', '01111011']
speed =  247 ['10000001', '00000011', '01111011', '01111011']
speed =  248 ['10000001', '00000000', '01111100', '01111100']
speed =  249 ['10000001', '00000011', '01111100', '01111100']
speed =  250 ['10000001', '00000000', '01111101', '01111101']
speed =  251 ['10000001', '00000011', '01111101', '01111101']
speed =  252 ['10000001', '00000000', '01111110', '01111110']
speed =  253 ['10000001', '00000011', '01111110', '01111110']
speed =  254 ['10000001', '00000000', '01111111', '01111111']
